"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,240,"UKR","Ukraine",1,"Cherkasy","UA.CK",NA,"","Oblast'","Region","","Черкаська"
2,240,"UKR","Ukraine",2,"Chernihiv","UA.CH",NA,"","Oblast'","Region","","Чернігівська"
3,240,"UKR","Ukraine",3,"Chernivtsi","UA.CV",NA,"","Oblast'","Region","","Чернівецька"
4,240,"UKR","Ukraine",4,"Crimea","UA.KR",NA,"","Autonomous Republic","Autonomous Republic","","Автономна Республіка Крим"
5,240,"UKR","Ukraine",5,"Dnipropetrovs'k","UA.DP",NA,"","Oblast'","Region","","Дніпропетровська"
6,240,"UKR","Ukraine",6,"Donets'k","UA.DT",NA,"","Oblast'","Region","","Донецька"
7,240,"UKR","Ukraine",7,"Ivano-Frankivs'k","UA.IF",NA,"","Oblast'","Region","","Івано-Франківська"
8,240,"UKR","Ukraine",8,"Kharkiv","UA.KK",NA,"","Oblast'","Region","","Харківська"
9,240,"UKR","Ukraine",9,"Kherson","UA.KS",NA,"","Oblast'","Region","","Херсонська"
10,240,"UKR","Ukraine",10,"Khmel'nyts'kyy","UA.KM",NA,"","Oblast'","Region","","Хмельницька"
11,240,"UKR","Ukraine",11,"Kiev City","UA.KC",NA,"","Independent City","Independent City","","м. Київ"
12,240,"UKR","Ukraine",12,"Kiev","UA.KV",NA,"","Oblast'","Region","","Київська"
13,240,"UKR","Ukraine",13,"Kirovohrad","UA.KH",NA,"","Oblast'","Region","","Кіровоградська"
14,240,"UKR","Ukraine",14,"L'viv","UA.LV",NA,"","Oblast'","Region","","Львівська"
15,240,"UKR","Ukraine",15,"Luhans'k","UA.LH",NA,"","Oblast'","Region","","Луганська"
16,240,"UKR","Ukraine",16,"Mykolayiv","UA.MY",NA,"","Oblast'","Region","","Миколаївська"
17,240,"UKR","Ukraine",17,"Odessa","UA.OD",NA,"","Oblast'","Region","","Одеська"
18,240,"UKR","Ukraine",18,"Poltava","UA.PL",NA,"","Oblast'","Region","","Полтавська"
19,240,"UKR","Ukraine",19,"Rivne","UA.RV",NA,"","Oblast'","Region","","Рівненська"
20,240,"UKR","Ukraine",20,"Sevastopol'","UA.SC",NA,"","Autonomous Republic","Autonomous Republic","","м. Севастополь"
21,240,"UKR","Ukraine",21,"Sumy","UA.SM",NA,"","Oblast'","Region","","Сумська"
22,240,"UKR","Ukraine",22,"Ternopil'","UA.TP",NA,"","Oblast'","Region","","Тернопільська"
23,240,"UKR","Ukraine",23,"Transcarpathia","UA.ZK",NA,"","Oblast'","Region","","Закарпатська"
24,240,"UKR","Ukraine",24,"Vinnytsya","UA.VI",NA,"","Oblast'","Region","","Вінницька"
25,240,"UKR","Ukraine",25,"Volyn","UA.VO",NA,"","Oblast'","Region","","Волинська"
26,240,"UKR","Ukraine",26,"Zaporizhzhya","UA.ZP",NA,"","Oblast'","Region","","Запорізька"
27,240,"UKR","Ukraine",27,"Zhytomyr","UA.ZT",NA,"","Oblast'","Region","","Житомирська"
